code,answer,score_v1,score_v2,score,ideal,score_ideal_ratio
B.12,YES. The Board composition is driven by the following principles: the board must comprise of a majority of independent non-executive directors.,2,,2,2,1.0
B.13,"The Board ensures a smooth transition of Board members by having a Nomination Committee responsible for the selection and appointment of board directors. Prior to any appointment, the Nomination Committee defines the functions and core competencies for each vacant directorship role. It also develops suitable selection criteria for potential candidates, screens and interviews them. Each Non-Executive Director serves for a total non-renewable period of 8 years from the date of appointment. However, in accordance with the Articles of Association of the Company, one-third of the Non-executive Directors are required to resign and may offer themselves for re-election to continue serving on the Board. Directors are issued with letters of appointment, with clear terms and conditions regarding the discharge of their duties. The Board regularly reviews the skills, knowledge, and experience represented on the Board against the skills and experience needed to deliver the strategy. The Board continuously reviews the skills, experience, and diversity mix of the Board and continues to make efforts on diversifying the skill set and gender.",2,2.0,3,3,1.0
B.14,"YES. The Audit & Risk committee is composed of only independent non-executive Directors in line with the provisions of the Prudential Guidelines issued by the Central Bank of Kenya, and the Board has put in place a sound governance framework in compliance with the legal and regulatory framework and in line with global best governance practices for the interest of stakeholders. The Board evaluation was conducted in February 2022 and the results presented to the Central Bank of Kenya in March 2022 in line with regulatory requirements. The Capital Markets Authority also assessed the status of implementation of the CMA Code by the Company for the year ended 31 December 2020 and a governance audit was conducted on the Company in December 2021 by C.S. Bernard Kiragu of Scribe Services issued an unqualified report. The Audit & Risk committee reviewed internal audit reports, received and considered reports on compliance with AML/CFT regulatory requirements, reviewed ICAAP for the entire Group, and reviewed quarterly risk management reports presented by the Chief Risk Officer. The committee also considered the level of compliance by the organization to the code of conduct for Issuers of Securities to the Public, 2013 as well as the mandated reporting to the Capital Markets Authority in line with the requirements of the code.",2,,2,2,1.0
B.15,"YES. The roles of the Chairperson and the Chief Executive Officer are exercised by different individuals, with a clear division of responsibilities. The Board Charter delegates responsibility for day-to-day management of the business to the Group Chief Executive Officer & Managing Director, who in turn delegates aspects of his own authority to members of the Executive Committee. The scope of these delegations is clearly documented in various policies. The KCB Group Board Charter provides for a clear definition of the roles and responsibilities of the Group Chairman and directors, with a clear separation of roles and responsibilities between the running of the Board and the executive responsibility of running KCB Group’s business.",2,,2,2,1.0
B.16,YES. The Chairman of the Board must be an independent non-executive director.,2,,2,2,1.0
B.17,"YES. The Board has established procedures to allow its members access to relevant, accurate and complete information and professional advice. Procedures are in place, through the Group Board Chairman and the Group Company Secretary, enabling the Directors to have access, at reasonable times, to all relevant Company information and to senior management, to assist them in the discharge of their duties and responsibilities and to enable them to take informed decisions. The Directors are also entitled to obtain independent legal, accounting or other professional advice at the Company’s expense.",2,2.0,3,3,1.0
B.18,"YES. The Board has formal procedures for managing conflicts of interest in accordance with the Companies Act 2015 and the CMA Code. Directors are required to declare a conflict of interest or a material personal interest in any matter concerning the Company immediately for the Board to review. The Board also requires all Directors to disclose on appointment and annually any circumstance which may give rise to an actual or potential conflict of interest with their roles as Director. During the year 2021, except for the directorship held by the Cabinet Secretary, National Treasury, all other directors of the company were considered independent. No incidences of material conflict of interest were identified for any of the Directors.",2,,2,2,1.0
B.19,YES. The Board has adopted a policy on related party transactions to protect the interests of the company and all its shareholders and which meets the requirements of the Code. The Board has formal procedures for managing conflicts of interest in accordance with the Companies Act 2015 and the CMA Code. Directors are required to declare a conflict of interest or a material personal interest in any matter concerning the Company immediately for the Board to review. Any Director with a material personal interest in any matter being considered during the Board or committee meeting will not vote on the matter or be present when the matter is being discussed and considered. The Board also requires all Directors to disclose on appointment and annually any circumstance which may give rise to an actual or potential conflict of interest with their roles as Director.,2,,2,2,1.0
B.2,"YES. The excerpt states that during the year 2021, except for the directorship held by the Cabinet Secretary, National Treasury, all other non-executive directors of the company were considered independent. Additionally, the Nomination Committee, which is responsible for the selection and appointment of board directors, is composed of independent directors.",2,,2,2,1.0
B.20,"YES. The company has appointed a qualified and competent company secretary who is a member in good standing of ICPSK. The Company Secretary provides a central source of guidance and advice to the Board on matters of ethics, statutory compliance, compliance with the regulators and good governance.",2,,2,2,1.0
B.21,"YES. The Board has adopted policies and processes to ensure oversight of sustainability, environmental and social risks and issues. They have established various committees including Audit & Risk, Human Resources & Governance, Strategy & IT, Nominations & Oversight committees, which are tasked with developing and continuous monitoring of the Group risk management policies in their specified areas. They have also adopted a simplified screening tool, developed action plans and covenants embedded in the facility agreements with clients to ensure compliance, and inclusion of ESDD reports as a measure of performance has led to an increase in awareness and mitigation of environmental and social risks. The Group is continually updating their Enterprise Risk management framework to ensure the identification, assessment, management and reporting of climate change-related risks which helps increase their understanding of the risks and opportunities in their portfolios and enhances their forward-looking analysis. They are focused on adequately embedding risks associated with climate change into their risk framework to appropriately measure, manage and disclose the various financial and operational risks they face as a result of climate change.",2,,2,2,1.0
B.22,"YES. The Board has developed an annual work-plan to guide its activities, which includes holding seven Board meetings, conducting a strategic planning session, keeping formal records of Board discussions, and following up on the timely execution of agreed actions. The Board also reviews its performance and that of the Board committees and individual directors every year, and maintains the skills required to carry out their obligations through a programme of continuing education. The Board pursues an active approach to capital management through ongoing review and approval of the level and composition of its capital base against key policy objectives. The Board has established various committees, including Audit & Risk, Human Resources & Governance, Strategy & IT, Nominations & Oversight committees, which are tasked with developing and continuously monitoring the Group risk management policies in their specified areas.",2,,2,2,1.0
B.23,"YES. The Board reviews its performance and that of the Board committees and individual directors every year, with an external consultant facilitating the review every third year. The review in respect of the 2021 financial year was conducted internally by the Group Chairman through the coordination of the Group Company Secretary. The Board has a formal process of reviewing its performance and that of its committees and individual directors, with evaluation of the board being externally facilitated after every two years.",2,,2,2,1.0
B.24,"YES. The Board has established and applied a formal induction program for in-coming members. Newly recruited employees are seamlessly onboarded into the Group through the Group induction and orientation policy, ensuring that they understand the strategy, vision, culture, and values of the Group. All newly appointed non-executive Directors participate in an induction programme, which includes a series of meetings with other Directors, the Group Chief Executive Officer & Managing Director, and senior executives to enable new Directors to familiarize themselves with the business. The Board Charter provides that non-executive Directors are normally expected to serve a term not exceeding a total of eight years. The nomination and appointment process of a director to the board is clearly set out in the Nomination & Appointment Policy. The Policy provides for the Nomination Committee, which is responsible for the selection and appointment of board directors.",2,,2,2,1.0
B.25,YES. Board members participate in on-going corporate governance training to the extent of 12 hours per year. The program of continuing education ensures that the Board is kept up to date with developments in the industry both locally and globally. It includes sessions with local and overseas experts in the areas of general corporate governance and in the particular fields relevant to the Group’s operations.,2,,2,2,1.0
B.26,YES. The Human Resources and Governance Committee of the Board is responsible for setting and administering the non-executive Directors remuneration policy. The Board has established Board committees to consider key issues related to remuneration policy.,2,,2,2,1.0
B.27,"YES. The Board has established and approved formal and transparent remuneration policies and procedures that attract and retain Board members. The Human Resources and Governance Committee of the Board is responsible for setting and administering the non-executive Directors remuneration policy, and the remuneration and privileges accorded to the Non-executive Directors are competitive and reviewed according to the prevailing market trends for companies of a similar size and complexity of the Company. The Board also has a formal process of reviewing its performance and that of its committees and individual directors, which is externally facilitated after every two years.",2,,2,2,1.0
B.28,"The Board ensures compliance with all applicable laws, regulations, and standards, including the Constitution and internal policies by adhering to high standards and practices in Corporate Governance, conducting or directing any investigation to fulfill its responsibilities, retaining legal, accounting, or other services as necessary, keeping formal records of Board discussions, and following up on the timely execution of agreed actions. The Board also reviews its performance and that of the Board committees and individual directors every year, and every third year, the review is facilitated by an external consultant. Directors have a statutory duty to promote the success of the Company for the benefit of its stakeholders, and the Board is committed to ensuring that the Company complies with the laws, regulations, and standards applicable to it. The Group continually adapts to the rapidly changing regulatory environment and ensures compliance while reducing exposure to regulatory risk. Business units identify, assess, and implement policy and regulatory requirements and establish controls, processes, procedures, and resources to ensure appropriate governance and compliance. The Risk and Legal functions provide oversight and proactive support to the business in identifying and managing regulatory and legal issues. The Group also minimizes compliance uncertainty by ensuring that the activities of the Group and its staff are conducted in accordance with all laws, regulations, codes of conduct, and standards of good practice applicable in all the jurisdictions it operates in, as well as conforming to internal policies and standards of operation, and with the highest ethical standard.",2,2.0,3,3,1.0
B.29,"YES. The Board conducted a legal and compliance audit in 2019 and was ongoing for the year 2021. The Board also conducted a governance audit in December 2021. The Board evaluates its performance and that of the Board committees and individual directors every year, with an external consultant facilitating the review every third year. The committee reviewed internal and external audit reports, policies, compliance with AML/CFT regulatory requirements, and the level of compliance with the code of conduct for Issuers of Securities to the Public. The Board has a sound governance framework in compliance with the legal and regulatory framework and in line with global best governance practices. The Group Board has the overall responsibility for the Group's system of internal control, which includes all material controls including financial, operational and compliance controls and related risk management, and reviewing its effectiveness.",2,2.0,3,3,1.0
B.3,"YES. The nomination and appointment process of a director to the board is clearly set out in the Nomination & Appointment Policy. The Policy provides for the Nomination Committee, which is responsible for the selection and appointment of board directors. The committee defines the functions and core competencies for each vacant directorship role, develops suitable selection criteria for potential candidates, screens and interviews them, and puts the short-listed candidate forward for consideration by the full board. Upon consideration of the board, a successful candidate is appointed to the board. Prior to the confirmation of appointment, all Directors are required to meet the “Fit and Proper” requirements set out in the Prudential Guidelines issued by the Central Bank of Kenya.",2,2.0,3,3,1.0
B.30,"YES. The Board evaluation was conducted in February 2022 and the results presented to the Central Bank of Kenya in March 2022 in line with regulatory requirements. A governance audit was conducted on the Company in December 2021 by C.S. Bernard Kiragu of Scribe Services who issued an unqualified report. The Board has put in place a sound governance framework, which is in compliance with the legal and regulatory framework and in line with global best governance practices for the interest of stakeholders. The Board reviews its performance and that of the Board committees and individual directors every year. Every third year, the review is facilitated by an external consultant. On the years the consultant is not engaged, the Chairman leads the assessment of the Board and each Director. The overall rating awarded to the Company was a leadership rating of 81% - a testament to the Board’s commitment to sound corporate governance practices. The Company continues to implement the recommendations received from the CMA to improve its level of implementation of the recommendations under the CMA Code.",2,,2,2,1.0
B.4,"YES. The Board size is adequate for the exercise of the company business as the Articles of Association of the company provides that the Board shall comprise of a maximum of eleven Directors, and the current Board structure comprises of two executive Directors and nine non-executive Directors including the Group Chairman. The Board determines its size and composition, subject to the Company’s Articles of Association, Board Charter and applicable law.",2,,2,2,1.0
B.5,"YES. The Board continuously reviews the skills, experience, and diversity mix of the Board and makes efforts to diversify the skill set and gender. The Nominations committee has been tasked to take this into consideration in its nominations. Additionally, the diversity and inclusion policy guides the organization to create and sustain an environment that attracts and retains the best diverse talent in a manner that increases productivity by fully engaging every employee and earning the Group the mandate to operate and grow. The policy ensures that the organization creates and sustains an environment that is based on merit, equality, and inclusion to attract and retain diverse talent, where each employee can develop to their full potential irrespective of their race, ethnicity, gender, marital status, age, disability, religious belief, and personal political affiliation.",2,,2,2,1.0
B.6,"YES. The Board regularly reviews the skills, knowledge and experience represented on the Board against the skills and experience needed to deliver the strategy. The Board continuously reviews the skills, experience and diversity mix of the Board and continues to make efforts on diversifying the skill set and gender. The Nominations committee has been tasked to take this into consideration in its nominations. The Board Charter provides that a majority of its directors should be independent and the non-executive Directors are expected to have a clear understanding of the strategy of the Company as well as knowledge of the industry and markets in which the Group operates. The aggregate mix of skills and experience of the Directors seeks to challenge management, ensure robust and constructive debate, augments and challenges the strategic thinking of the executives thereby adding value to the Group. The Audit & Risk committee is made up of only independent non-executive Directors in line with the provisions of the Prudential Guidelines issued by the Central Bank of Kenya.",2,2.0,3,3,1.0
B.7,"YES. The board has adopted and applied a policy limiting the number of board positions each Board member may hold at any one time, with a maximum tenure of office of ten years for Board members or Chief Executive Officers of a bank or financial institution. Additionally, a person who has served as a Board member or Chief Executive Officer of a bank or financial institution for a consecutive period of ten years shall not qualify for appointment in his former bank or financial institution, or its subsidiaries in any capacity until after a period of three years.",2,,2,2,1.0
B.8,"YES. Alternate Director/s have been appointed according to regulation and Code requirements. The Nomination Committee is responsible for the selection and appointment of board directors. Prior to any appointment, the Nomination Committee defines the functions and core competencies for each vacant directorship role. It also develops suitable selection criteria for potential candidates, screens and interviews them. The competencies outlined in the table below are among those considered in the selection of non-executive directors to the board.",2,,2,2,1.0
B.9,"YES. At least one-third of the directors must be independent directors in a public company, according to the Rwanda Corporate Governance Law N° 007/2021 governing companies Article 158. The Board committees must have a majority of independent directors, and the Audit & Risk committee is made up of only independent non-executive Directors in line with the provisions of the Prudential Guidelines issued by the Central Bank of Kenya. The Board Charter provides that a majority of its directors should be independent, and the Articles of Association of the Company require at least one-third of the non-executive Directors to retire from the Board and where eligible, stand for re-election at every Annual General Meeting.",2,,2,2,1.0
C.1,"YES. The governance framework recognizes the need to equitably treat all shareholders, including the minority and foreign shareholders. The Board of Directors of KCB Group Plc. considers good governance practices based on accountability, transparency, ethical management, and fairness, entrenched across the business. The company employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders, and shareholders are encouraged to attend and participate in the Annual General Meetings. The Group also releases material information to the Capital Markets Authority and the Nairobi Securities Exchange, as well as the Central Bank of Kenya, in line with all disclosure requirements in the Capital Markets Act, the Banking Act, the Prudential Guidelines, as well as all other relevant regulation.",2,,2,2,1.0
C.2,"The Board facilitates the effective exercise of shareholders' rights by ensuring that the rights of shareholders are always protected, communicating with shareholders through diverse channels and mechanisms, providing access to information and independent advice, and conducting or directing any investigation to fulfill its responsibilities. The Board also employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders, and ensures effective flow of information within the Board and its committees and between senior management and non-executive Directors. Shareholders who are unable to attend the AGM in person are encouraged to vote on the proposed resolutions by appointing a proxy prior to the AGM. The Group makes use of the AGM as well as the published annual integrated report as an opportunity to communicate with its shareholders. At the meeting, a reasonable opportunity is allowed for shareholders as a whole to ask questions about or make comments on the management of the Group. Directors are entitled to request for additional information where they consider further information is necessary to support informed decision-making. The Board also sets the agenda for each meeting and approves the audited financial statements for the year. The Board may retain, at the Company’s expense, any legal, accounting or other services that it considers necessary from time to time to fulfill its duties. Directors are expected to strictly observe the provisions of the statutes applicable to the use and confidentiality of information.",2,,2,2,1.0
C.3,"The Board facilitates shareholders participation at the AGM by ensuring that notice of meetings and all statutory notices and information are communicated to shareholders on time, allowing shareholders to appoint a proxy prior to the AGM, providing a reasonable opportunity for shareholders to ask questions about or make comments on the management of the Group, and encouraging shareholders to attend and participate in the AGM. The Board also fosters constructive dialogue between shareholders, the Board, and management at the AGM and other shareholder meetings, and provides guidance to the Board and Directors on how their responsibilities should be discharged in the best interests of the Company. The Group employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders, and releases material information to the Capital Markets Authority and the Nairobi Securities Exchange as well as the Central Bank of Kenya in line with all disclosure requirements in the Capital Markets Act, the Banking Act, the Prudential Guidelines as well as all other relevant regulation.",2,,2,2,1.0
C.4,"YES. Minority and foreign shareholders holding the same class of shares are treated equitably. The Board works to ensure that all shareholders are treated equitably and their rights are protected. The Company employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders. The Group considers various parameters to assess the existence of significant influence, including representation on the board of directors or equivalent governing body of the investee, participation in the policy-making process and material transactions between the investor and the investee, interchange of managerial personnel between the investor and the investee, and provision of essential technical information by the investor to the investee. The Group has a diverse shareholder base of 193,274 shareholders, 89% of whom are local individual and institutional investors while 11% are foreign investors. Shareholders are encouraged to visit the website for general information about the Group and to view financial reports and results briefing presentations. The Group releases material information to the Capital Markets Authority and the Nairobi Securities Exchange as well as the Central Bank of Kenya in line with all disclosure requirements in the Capital Markets Act, the Banking Act, the Prudential Guidelines as well as all other relevant regulation.",2,,2,2,1.0
C.5,"YES. The content provides evidence that the Board proactively provides information to shareholders and the media, in a timely basis, on corporate affairs and corporate governance. The Board recognizes the importance of maintaining transparency and accountability to shareholders and investors and employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders. The Group makes use of the AGM as well as the published annual integrated report as an opportunity to communicate with its shareholders. The Group seeks to provide shareholders with information that is timely, of high quality and relevant to their investment, and to listen and respond to shareholder feedback. The Group additionally posts all material information on its website and releases material information to the Capital Markets Authority and the Nairobi Securities Exchange as well as the Central Bank of Kenya in line with all disclosure requirements in the Capital Markets Act, the Banking Act, the Prudential Guidelines as well as all other relevant regulation.",2,,2,2,1.0
D.1,"YES. The Board of Directors of KCB Group Plc. has a stakeholder-inclusive approach in its practice of corporate governance and identifies its various stakeholders. The Board applies good governance practices to promote strategic decision making for the organization to balance short, medium and long-term outcomes to reconcile interests of the KCB Group as a whole together with its stakeholders and the society to create sustainable shared value. The Company employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders. The Board ensures that high standards and practices in Corporate Governance and more specifically the principles, practices and recommendations set out under the Code of Corporate Governance Practices for Issuers of Securities to the Public, 2015 (“the CMA Code”), the Corporate Governance Guidelines as prescribed by the Central Bank of Kenya being the primary regulatory authority of the Group and KCB Bank Kenya Limited as well as the Companies Act, 2015 (“the Act”) are adhered to. Directors have a statutory duty to promote the success of the Company for the benefit of its stakeholders.",2,,2,2,1.0
D.2,"YES. The Board of Directors has established various committees tasked with developing and continuously monitoring the Group's risk management policies in their specified areas, including policies, procedures, and strategies to manage relations with different/key stakeholder groups. The Board also employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders.",2,,2,2,1.0
D.3,"The Board takes into account the interests of key stakeholder groups by having due regard to the long-term consequences of their decisions, the legitimate interests of employees, the need to foster effective business relationships with suppliers, customers and various stakeholders, the impact of the Company’s operations on the community and the environment, and the desire to maintain a reputation for high standards of business conduct. The Board also engages with shareholders and investors to maintain transparency and accountability, and has established various committees including Audit & Risk, Human Resources & Governance, Strategy & IT, Nominations & Oversight committees, which are tasked with developing and continuous monitoring of the Group risk management policies in their specified areas. The Group considers all relevant information available when making the business model assessment.",2,2.0,3,3,1.0
D.4,"The Board ensures effective communications with stakeholders by employing diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders. These channels and mechanisms include collection of investor feedback and communication via the investor relations function, financial information on the Company made available on the Company’s website and latest results being provided on a quarterly basis in national publications. The Group also makes use of the AGM as well as the published annual integrated report as an opportunity to communicate with its shareholders. The Board also provides guidance to the company in taking the initiative to not only disclose corporate governance matters as required by law, but also information of material importance to decision making by shareholders, customers, and other stakeholders.",2,2.0,3,3,1.0
D.5,"YES. The Board has established a formal process of reviewing its performance and that of its committees and individual directors, which is externally facilitated after every two years. The Board also has formal procedures for managing conflicts of interest in accordance with the Companies Act 2015 and the CMA Code, and Directors are required to declare any conflicts of interest or material personal interests in any matter concerning the Company immediately for the Board to review. The Board is also entitled to obtain independent legal, accounting, or other professional advice at the Company's expense.",2,,2,2,1.0
E.1,"YES. The Board ensures that all deliberations, decisions and actions are founded on the core values (responsibility, accountability, fairness and transparency) underpinning good governance and sustainability. The Board applies good governance practices to promote strategic decision making for the organization to balance short, medium and long-term outcomes to reconcile interests of the KCB Group as a whole together with its stakeholders and the society to create sustainable shared value. Sound governance practices, based on accountability, transparency, ethical management and fairness, are entrenched across the business. The Board regularly reviews its corporate governance arrangements and practices and ensures that the same reflects the developments in regulation, best market practice and stakeholder expectations across all the countries where we operate.",2,,2,2,1.0
E.2,"YES. The Board has developed a Code of Ethics and Conduct that includes sustainability and has worked to ensure its application by all directors, management, and employees. The Board is committed to ensuring that the Company complies with laws, regulations, and standards applicable to it, and maintains good governance practices based on accountability, transparency, ethical management, and fairness. The Group has policies and codes of conduct that apply to all employees and directors, including contractors and consultants, and adopts zero tolerance to all forms of corruption, bribery, and unethical business practice. The Board regularly reviews the professional development needs of each Director and ensures that the Board is kept up to date with developments in the industry both locally and globally. The Company has received an overall rating of 81% for its commitment to sound corporate governance practices.",2,0.0,2,3,0.6666666666666666
E.3,"The Board ensures that high standards and practices in Corporate Governance and more specifically the principles, practices and recommendations set out under the Code of Corporate Governance Practices for Issuers of Securities to the Public, 2015 (“the CMA Code”), the Corporate Governance Guidelines as prescribed by the Central Bank of Kenya being the primary regulatory authority of the Group and KCB Bank Kenya Limited as well as the Companies Act, 2015 (“the Act”) are adhered to. The Board also regularly reviews its corporate governance arrangements and practices and ensures that the same reflects the developments in regulation, best market practice and stakeholder expectations across all the countries where we operate. Additionally, KCB Group minimizes compliance uncertainty by ensuring that the activities of the Group and its staff are conducted in accordance with all laws, regulations, codes of conduct and standards of good practice applicable in all the jurisdictions it operates in, as well as conforming to internal policies and standards of operation, and with the highest ethical standard. This is achieved through a compliance and ethics framework that supports a robust compliance culture which is based on the highest standards of ethical business practice. Annual ethics training is provided to all staff, and employees are encouraged to freely raise any ethical concerns through established channels, either internally, or anonymously through external channels.",2,2.0,3,3,1.0
E.4,"YES. The Board of Directors of the Group has established various committees including Audit & Risk, which are tasked with developing and continuous monitoring of the Group risk management policies in their specified areas. The Group has a Risk Management Framework that covers all systems, structures, policies, processes, and people that identify, measure, evaluate, monitor, report, and control or mitigate both internal and external sources of material risk. The Group also has a Framework in place covering the way they manage reputation risk including the setting of risk appetite and roles and responsibilities for risk identification, measurement, and management, monitoring, and reporting. Annual ethics training is provided to all staff, and employees are encouraged to freely raise any ethical concerns through established channels, either internally, or anonymously through external channels.",2,,2,2,1.0
E.5,"The company performance on ethics is assessed through annual ethics training for all staff, a framework for managing reputation risk, and channels for employees to raise ethical concerns internally or anonymously through external channels. The Board of Directors of KCB Group Plc. considers good governance achieved through an ethical culture, competitive performance, effective control and legitimacy, can create sustainable value and enhance long-term equity performance. The Board applies good governance practices to promote strategic decision making for the organization to balance short, medium and long-term outcomes to reconcile interests of the KCB Group as a whole together with its stakeholders and the society to create sustainable shared value. The assessment of the company's commitment to good corporate governance, board operations and control, rights of shareholders, stakeholder relations, ethics and social responsibility, accountability, risk management and internal control, transparency and disclosure is reviewed and monitored. The company employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders. The company also embeds a strong compliance culture and desired behaviors through training and awareness to both internal and external stakeholders as appropriate. The company has embraced a culture of responsible living, with the ultimate intention of building a sustainable work environment that has minimal or nil adverse effects on the environment.",2,,2,2,1.0
E.6,"YES. The company has established and implemented a whistle blowing policy. They have a suite of policies and practices to promote a culture of compliance, honesty, and ethical behavior, including whistle blower protection. The KCB Group whistle-blower program encourages the reporting of any wrongdoing in a way that protects and supports whistle-blowers. They provide confidential and anonymous communication channels to raise concerns, and they have an annual ethics training provided to all staff.",2,,2,2,1.0
E.7,"YES. The Board has developed policies on corporate citizenship and sustainability and strategies for company use. The company has embraced a culture of responsible living, established committees for risk management policies, and monitors progress on United Nations Sustainable Development Goals. The company also revised its Risk appetite policy to include green finance and conducts environmental and social due diligence on projects. The company's commitment to good corporate governance, ethics, social responsibility, and transparency is reflected in its leadership rating of 81%.",2,,2,2,1.0
E.8,"YES. The Board considers not only the financial performance but also the impact of the company’s operations on society and the environment. Directors have a statutory duty to promote the success of the Company for the benefit of its stakeholders, with due regard to the long-term consequences of their decisions, the legitimate interests of employees, the need to foster effective business relationships with suppliers, customers and various stakeholders, the impact of the Company’s operations on the community and the environment, and the desire to maintain a reputation for high standards of business conduct. The Group has also extended social and environmental screening criteria to loans and adopted best practices within the head office and branch network to ensure environmental conservation. The Group recognizes its responsibility to achieve global climate goals and is investing in learning and capacity building to ensure systemic change, advancing together so that no one is left behind.",2,0.0,2,3,0.6666666666666666
E.9,"YES. The Board of Directors of KCB Group Plc. consider that good governance, achieved through an ethical culture, competitive performance, effective control and legitimacy, can create sustainable value and enhance long-term equity performance. The Board applies good governance practices to promote strategic decision making for the organization to balance short, medium and long-term outcomes to reconcile interests of the KCB Group as a whole together with its stakeholders and the society to create sustainable shared value. Sound governance practices, based on accountability, transparency, ethical management and fairness, are entrenched across the business. The Board monitors and reports activities leading to good corporate citizenship and sustainability to demonstrate they are well coordinated. The subsidiaries at all times comply with the Group Board Charter, subject only to local legal requirements. The Board has delegated authority to various Board committees to be able to undertake its mandate effectively and efficiently.",2,,2,2,1.0
