code,answer,score_v1,score_v2,score,ideal,score_ideal_ratio
D.4,"The Board ensures effective communications with stakeholders by employing diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders. These channels and mechanisms include collection of investor feedback and communication via the investor relations function, financial information on the Company made available on the Company’s website and latest results being provided on a quarterly basis in national publications. The Group also makes use of the AGM as well as the published annual integrated report as an opportunity to communicate with its shareholders. The Board also provides guidance to the company in taking the initiative to not only disclose corporate governance matters as required by law, but also information of material importance to decision making by shareholders, customers, and other stakeholders.",2,2.0,3,3,1.0
D.5,YES.,2,,2,2,1.0
E.1,YES.,2,,2,2,1.0
E.2,YES.,2,0.0,2,3,0.6666666666666666
E.3,"The Board ensures that high standards and practices in Corporate Governance and more specifically the principles, practices and recommendations set out under the Code of Corporate Governance Practices for Issuers of Securities to the Public, 2015 (“the CMA Code”), the Corporate Governance Guidelines as prescribed by the Central Bank of Kenya being the primary regulatory authority of the Group and KCB Bank Kenya Limited as well as the Companies Act, 2015 (“the Act”) are adhered to. The Board also regularly reviews its corporate governance arrangements and practices and ensures that the same reflects the developments in regulation, best market practice and stakeholder expectations across all the countries where we operate. Additionally, KCB Group minimizes compliance uncertainty by ensuring that the activities of the Group and its staff are conducted in accordance with all laws, regulations, codes of conduct and standards of good practice applicable in all the jurisdictions it operates in, as well as conforming to internal policies and standards of operation, and with the highest ethical standard. This is achieved through a compliance and ethics framework that supports a robust compliance culture which is based on the highest standards of ethical business practice. Annual ethics training is provided to all staff, and employees are encouraged to freely raise any ethical concerns through established channels, either internally, or anonymously through external channels.",2,2.0,3,3,1.0
E.4,YES.,2,,2,2,1.0
E.5,"The company performance on ethics is assessed through annual ethics training for all staff, a framework for managing reputation risk, and channels for employees to raise ethical concerns internally or anonymously through external channels. The Board of Directors of KCB Group Plc. considers good governance achieved through an ethical culture, competitive performance, effective control and legitimacy, can create sustainable value and enhance long-term equity performance. The Board applies good governance practices to promote strategic decision making for the organization to balance short, medium and long-term outcomes to reconcile interests of the KCB Group as a whole together with its stakeholders and the society to create sustainable shared value. The assessment of the company's commitment to good corporate governance, board operations and control, rights of shareholders, stakeholder relations, ethics and social responsibility, accountability, risk management and internal control, transparency and disclosure is reviewed and disclosed to internal and external stakeholders. The company employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders.",2,,2,2,1.0
E.6,YES.,2,,2,2,1.0
E.7,YES.,2,,2,2,1.0
E.8,YES.,2,0.0,2,3,0.6666666666666666
E.9,YES.,2,,2,2,1.0
F.1,YES.,2,,2,2,1.0
F.10,YES.,2,,2,2,1.0
F.2,YES.,2,,2,2,1.0
F.3,YES.,2,2.0,3,3,1.0
F.4,YES.,2,,2,2,1.0
F.5,"YES. The company's Annual Report is prepared on an integrated basis using a framework available from the Integrated Reporting Council, The Global Reporting Initiative, G4 Sustainability Guidelines and/or Sustainability Accounting Standards Board standards.",2,,2,2,1.0
F.6,YES.,2,,2,2,1.0
F.7,YES.,2,,2,2,1.0
F.8,YES.,2,,2,2,1.0
F.9,YES.,2,,2,2,1.0
G.1,YES.,2,,2,2,1.0
G.10,YES.,2,,2,2,1.0
G.11,YES.,2,,2,2,1.0
G.12,YES.,2,,2,2,1.0
G.2,YES.,2,,2,2,1.0
G.3,NO,0,,0,2,0.0
G.4,YES.,2,,2,2,1.0
G.5,YES.,2,,2,2,1.0
G.6,NO,0,,0,2,0.0
G.7,YES.,2,,2,2,1.0
G.8,YES.,2,,2,2,1.0
G.9,YES.,2,,2,2,1.0
